posting_id,source,source_url,captured_date,posting_date,company_name,company_size_band,company_stage_signal,industry,role_title_raw,role_title_normalized,seniority,geo,stack_mentions_raw,stack_components_normalized,notes,confidence
db489962b042,builtin,https://builtin.com/job/senior-platform-engineer-data-analytics/7426268,2026-05-11,2026-05-10,Avant,250-500-conditional,mid-market,fintech-regulated,"Senior Platform Engineer, Data & Analytics",data_platform_engineer,senior,us,"Evolve and expand our core data and analytics stack, working with technologies like Kafka, Databricks, Spark, dbt, and Kubernetes to make advanced capabilities accessible to everyone.

Experience with our core stack: Databricks, Spark, Kafka, Airflow, Temporal, or dbt.

Hands-on experience with Terraform and AWS services relevant to data platforms (e.g., S3, EKS, MSK, DMS, Glue).","[{""category"":""cloud_platform"",""instance"":""aws""},{""category"":""warehouse"",""instance"":""databricks""},{""category"":""transformation"",""instance"":""dbt_core""},{""category"":""orchestration"",""instance"":""airflow""},{""category"":""orchestration"",""instance"":""temporal""},{""category"":""streaming"",""instance"":""kafka""},{""category"":""streaming"",""instance"":""msk""},{""category"":""cdc"",""instance"":""dms""},{""category"":""iac"",""instance"":""terraform""}]","Avant is a digital lending/fintech company (~500+ employees range but posting describes a focused agile data platform team). Role is explicitly platform engineering for data & ML infrastructure — hands-on build mandate, not maintenance. Airflow, Temporal, Databricks, Kafka, dbt listed as 'nice to have / core stack' — aspirational framing for some. Kubernetes mentioned but not in taxonomy (omitted). Spark mentioned but not in taxonomy (omitted). AWS Glue mentioned but not in taxonomy (omitted). GenAI/LLM work mentioned as emerging initiative but no specific LLM provider named. Company size is likely 500+ (Avant is a well-known digital bank), but posting describes a small focused platform team — flagged as 250-500-conditional for review.",medium
a0567bbda604,builtin,https://builtin.com/job/senior-data-analytics-engineer/8053917,2026-05-11,2026-05-01,WorkWave,250-500-conditional,mid-market,saas,Senior Data Analytics Engineer,analytics_engineer,senior,remote_us_hq,"Pipeline Architecture: Expertise in architecting data pipelines and ETL processes, with tools like Fivetran, Snowflake, and DBT.

Visualization Proficiency: Experience building visual data analytic business-driven solutions using tools like PowerBI, Sigma, or similar analytic tools.

Cloud & Big Data: Familiarity with cloud platforms like AWS and experience with big data technologies such as Snowflake.","[{""category"":""ingestion_elt"",""instance"":""fivetran""},{""category"":""warehouse"",""instance"":""snowflake""},{""category"":""transformation"",""instance"":""dbt_core""},{""category"":""bi"",""instance"":""powerbi""},{""category"":""bi"",""instance"":""sigma""},{""category"":""bi"",""instance"":""tableau""},{""category"":""cloud_platform"",""instance"":""aws""}]","WorkWave is a field service management SaaS company; size is likely 500+ based on awards and global footprint (30+ states, 7 countries), but the posting explicitly describes a 'Startup AI and Data Analytics Business Unit' suggesting a small embedded data team. Tableau mentioned in body text under 'Gold Standard' data models section. AWS listed as aspirational/nice-to-have ('familiarity with'). Role blends data engineering and analytics engineering responsibilities.",medium
ae5f5b854219,builtin,https://builtin.com/job/senior-analytics-engineer/7629320,2026-05-11,2026-05-05,Origin,100-250,series-b,fintech-software,Senior Analytics Engineer,analytics_engineer,senior,remote_us_hq,"Design and maintain scalable data architecture, pipelines, and models using dbt, Airflow, and Redshift.

Build reusable datasets that power analytics, experimentation, and business intelligence.

Collaborate with Engineering to define event tracking and instrumentation standards.

Develop core metrics, dashboards, and self-serve tools for stakeholders.

Advanced SQL skills, including window functions and CTEs.

Experience with Python for analysis, modeling, or automation.

Hands-on experience building dbt models and Airflow pipelines.

Proficiency with BI and visualization tools (Tableau, Metabase, Power BI, Mode).

AWS data infrastructure experience (Redshift, S3, Terraform).","[{""category"":""warehouse"",""instance"":""redshift""},{""category"":""transformation"",""instance"":""dbt_core""},{""category"":""orchestration"",""instance"":""airflow""},{""category"":""bi"",""instance"":""tableau""},{""category"":""bi"",""instance"":""metabase""},{""category"":""bi"",""instance"":""powerbi""},{""category"":""bi"",""instance"":""mode""},{""category"":""cloud_platform"",""instance"":""aws""},{""category"":""iac"",""instance"":""terraform""}]",Role described as 'one of the earliest members of our data team' — small data team confirmed. Terraform and AWS listed as nice-to-have/aspirational. S3 mentioned but not in taxonomy (omitted). GitHub mentioned as nice-to-have (version-controlled workflows).,medium
dbf120fd3348,builtin,https://builtin.com/job/data-engineer/7415754,2026-05-11,2026-05-10,Whatnot,250-500-conditional,series-c,marketplace,Data Engineer,data_engineer,senior,us,"Have deep hands-on expertise with modern data tooling across ingestion (e.g., Kafka, Debezium), transformation (dbt, Spark, Flink), orchestration (Dagster, Airflow), and observability (Monte Carlo, Great Expectations).

Have operated cloud data warehouses such as Snowflake, BigQuery, or Redshift, including schema design, cost optimization, and workload tuning.

Are comfortable writing production-grade code in Python or SQL languages, and integrating with CI/CD and infrastructure-as-code workflows.","[{""category"":""streaming"",""instance"":""kafka""},{""category"":""cdc"",""instance"":""debezium""},{""category"":""transformation"",""instance"":""dbt_core""},{""category"":""orchestration"",""instance"":""dagster""},{""category"":""orchestration"",""instance"":""airflow""},{""category"":""observability_dq"",""instance"":""monte_carlo""},{""category"":""observability_dq"",""instance"":""great_expectations""},{""category"":""warehouse"",""instance"":""snowflake""},{""category"":""warehouse"",""instance"":""bigquery""},{""category"":""warehouse"",""instance"":""redshift""}]","Whatnot is a well-known Series C+ marketplace (raised ~$260M+). Company is likely >500 employees but the posting describes cross-functional placement across product, analytics, or data platforms teams suggesting a distributed data team structure. Spark and Flink mentioned as transformation tools — not in taxonomy, noted here. CI/CD and IaC mentioned generically without specific tooling named. Salary range ($180k–$260k) and multi-hub US presence consistent with a scaled startup. Size band marked 250-500-conditional given ambiguity; company may actually exceed 500 employees.",medium
3232c4a6ae1f,builtin,https://builtin.com/job/data-engineer-ii/8403183,2026-05-11,2026-05-02,WHOOP,250-500-conditional,series-c,healthtech-software,Data Engineer II,data_engineer,mid,us,"With a strong focus on modern AWS infrastructure and tooling such as Snowflake, DBT, Kafka, and Spark, you will help elevate our analytical and operational capabilities.

Design, build, and operate scalable ELT pipelines using Python and PySpark, with a focus on reliability, performance, and maintainability

Own and improve batch and streaming data systems using Spark and Kafka, including monitoring and resolving production data issues

Develop and optimize Snowflake data models and DBT transformations to support analytics, experimentation, and trusted metrics

Experience with DBT for data modeling, testing, and documentation is preferred

Experience with Spark and Kafka for batch or streaming data processing is preferred","[{""category"":""cloud_platform"",""instance"":""aws""},{""category"":""warehouse"",""instance"":""snowflake""},{""category"":""transformation"",""instance"":""dbt_core""},{""category"":""streaming"",""instance"":""kafka""},{""category"":""observability_dq"",""instance"":""dbt_tests""}]","WHOOP is a wearable fitness/health tech company; classified as healthtech-software. Company size is likely 500+ but posting describes a mid-level individual contributor role with no indication of a large dedicated data platform team — marked 250-500-conditional pending verification. PySpark/Spark mentioned for batch and streaming processing (not in taxonomy — omitted from normalized components). AI tools (Copilot, ChatGPT) mentioned as productivity aids, not core stack. dbt_tests inferred from 'DBT for data modeling, testing, and documentation'.",medium
134707cbb439,builtin,https://builtin.com/job/senior-nlp-data-engineer/7993043,2026-05-11,2026-04-23,iManage,250-500-conditional,mid-market,saas,Senior AI Data Engineer,data_engineer,senior,us,"Designing, developing and maintaining scalable pipelines in MSFT Azure to ingest and transform large volumes of text data from multiple sources

Designing automated workflows for text normalization, deduplication, language identification, PII redaction and metadata enrichment

Building automated data validation processes to ensure accuracy and consistency

Supporting model fine-tuning, semantic search and Gen AI evaluations tuning through dataset curation, prompt dataset preparation, labeling coordination, and text quality validation

Strong proficiency in Python, PySpark, and data manipulation for large unstructured text datasets.

Strong understanding of NLP concepts such as tokenization, embeddings, semantic search, and experience with standard text libraries such as SpaCy, HuggingFace Datasets, NLTK.

Solid dataOps knowledge and experience orchestrating advanced NLP data pipelines using cloud based data infrastructure

Exposure to Microsoft Azure Services such as Fabric, ADLS, AI Foundry, Azure ML, MLflow","[{""category"":""cloud_platform"",""instance"":""azure""},{""category"":""experiment_tracking"",""instance"":""mlflow""},{""category"":""ml_eval"",""instance"":""custom""}]","iManage describes itself as a SaaS company with 1M+ professionals across 65+ countries — likely 500–1000+ employees, but the Applied AI team appears to be a small focused team. Company size is ambiguous; marking 250-500-conditional. Azure Fabric and ADLS mentioned as aspirational/bonus. Azure ML mentioned as aspirational/bonus. SpaCy, HuggingFace Datasets, NLTK are NLP libraries not in taxonomy. Role is primarily data pipeline engineering for AI/ML (feature engineering, dataset curation, text pipelines) rather than pure ML inference — qualifies as data_engineer with AI focus. MLflow listed as bonus/aspirational.",medium
e936073f1248,builtin,https://builtin.com/job/data-engineer/3099890,2026-05-11,2026-05-11,Kalshi,50-100,series-b,fintech-regulated,"Software Engineer, Data",data_engineer,senior,us,"Our tech stack includes Python, SQL, DBT for data analytics and pipelining, pipelining and machine learning, Spark for big data processing, and visualization through Superset. We leverage cloud platforms such as AWS for scalable data storage and computational needs.

Proven track record in data pipeline development using modern orchestration tools (Airflow, Flink, Dagster)

Production experience with real-time data streaming platforms like Apache Kafka and Flink

Hands-on expertise with major cloud data warehouses (Snowflake, Redshift) and traditional databases like PostgreSQL

Strong data visualization skills using industry-standard tools (Tableau, Superset, Looker)","[{""category"":""cloud_platform"",""instance"":""aws""},{""category"":""transformation"",""instance"":""dbt_core""},{""category"":""orchestration"",""instance"":""airflow""},{""category"":""orchestration"",""instance"":""dagster""},{""category"":""streaming"",""instance"":""kafka""},{""category"":""warehouse"",""instance"":""snowflake""},{""category"":""warehouse"",""instance"":""redshift""},{""category"":""bi"",""instance"":""preset_superset""},{""category"":""bi"",""instance"":""tableau""},{""category"":""bi"",""instance"":""looker""}]","Kalshi is a CFTC-regulated prediction markets exchange — classified as fintech-regulated. Company described as 'relatively small team' and fastest-growing; estimated 50-100 band. Role is a hybrid data engineer / analytics engineer / light MLE (feature pipelines, model deployment support). Apache Flink mentioned for streaming/orchestration — not in taxonomy, noted here. PostgreSQL mentioned as operational DB, not as warehouse. Snowflake and Redshift listed as aspirational/required experience alongside AWS explicit mention. 4+ years experience required maps to senior.",medium
1d29523b21ec,builtin,https://builtin.com/job/senior-data-engineer/7449033,2026-05-11,2026-05-10,January,50-100,series-b,fintech-regulated,Senior Data Engineer,data_engineer,senior,us,"Own and optimize our entire data platform — taking our Snowflake warehouse from analyst-maintained to engineer-optimized while standardizing data models for customer reporting, operational dashboards, and ML features

Build self-healing data pipelines — designing ETL processes that scale automatically with volume, implementing monitoring that catches issues before anyone notices, and optimizing costs without sacrificing performance

Institute modern data practices — implementing testing frameworks, building CI/CD pipelines for infrastructure changes, and creating documentation that enables others to extend your work

Data Model Redesign : Architect unified models that reduce query redundancy for client reporting by 50% while maintaining flexibility

Pipeline Reliability : Strengthen monitoring systems to catch 99% of issues before they impact users

Cost Optimization : Reduce our Snowflake spend by 30-40% through intelligent clustering and lifecycle management

Analytics Enablement : Create semantic layers that enable technical and non-technical users alike to easily extract value from rich user data

Deep expertise with modern data warehouses (Snowflake, BigQuery, or Redshift) including performance tuning and cost optimization

Production experience with dbt or similar transformation tools, including testing and documentation best practices

Proven ability to build and maintain ETL/ELT pipelines at scale using modern orchestration tools

Experience with streaming architectures and real-time analytics

Familiarity with ML infrastructure and feature stores","[{""category"":""warehouse"",""instance"":""snowflake""},{""category"":""warehouse"",""instance"":""bigquery""},{""category"":""warehouse"",""instance"":""redshift""},{""category"":""transformation"",""instance"":""dbt_core""},{""category"":""semantic_layer"",""instance"":""none""}]","Founding data engineer role — explicitly a 1-person data engineering team. Company is in consumer debt/collections fintech with compliance emphasis but role is not compliance-dominated; core work is data platform engineering. BigQuery and Redshift mentioned as alternatives to Snowflake in requirements, not necessarily in current stack. Streaming architectures listed as aspirational/bonus. ML feature stores listed as aspirational/bonus. Semantic layer work described as a key project deliverable but no specific tool named — omitted from normalized stack. dbt inferred from 'dbt or similar transformation tools'; tagged as dbt_core given no mention of dbt Cloud. Orchestration tool not named explicitly.",medium
de1a0b1345ab,builtin,https://builtin.com/job/senior-data-engineer/7416482,2026-05-11,2026-05-10,Perchwell,50-100,series-b,marketplace,"Senior Software Engineer, Data",data_engineer,senior,us,"You've mastered the art of workflow orchestration using modern tools like Airflow, Dagster, or Prefect, ensuring data flows smoothly and reliably

Experience with cloud architecture (preferably AWS) and technologies including S3, SQS, RDS, EMR, Glue, Athena, and Lambda

Experience working  with data warehouses: redshift, snowflake, ClickHouse or google bigquery

Experience building CI/CD pipelines using GitLab, GitHub actions, Terraform, or Jenkins","[{""category"":""orchestration"",""instance"":""airflow""},{""category"":""orchestration"",""instance"":""dagster""},{""category"":""orchestration"",""instance"":""prefect""},{""category"":""cloud_platform"",""instance"":""aws""},{""category"":""warehouse"",""instance"":""athena""},{""category"":""warehouse"",""instance"":""redshift""},{""category"":""warehouse"",""instance"":""snowflake""},{""category"":""warehouse"",""instance"":""clickhouse""},{""category"":""warehouse"",""instance"":""bigquery""},{""category"":""cicd"",""instance"":""github_actions""},{""category"":""cicd"",""instance"":""jenkins""},{""category"":""iac"",""instance"":""terraform""}]","Company backed by Lux Capital and Founders Fund; stage inferred as series-b based on 'similar stage growth companies' language and VC backing. Company size estimated at 50-100 based on being described as a newer entrant with a 'new initiative' data team. Airflow, Dagster, Prefect listed as alternatives (aspirational breadth). Redshift, Snowflake, ClickHouse, BigQuery listed as alternatives. GitLab CI mentioned in posting but not in taxonomy — omitted. S3, SQS, RDS, EMR, Glue, Lambda are AWS services noted but not individually in taxonomy. Role is titled Software Engineer but is clearly a data engineering role with pipeline, warehouse, and orchestration focus.",medium
de686e834612,builtin,https://builtin.com/job/product-engineer-data-platform/6348692,2026-05-11,2026-05-09,Radar,100-250,series-b,saas,Senior / Staff Data Platform Engineer,data_platform_engineer,staff,remote_us_hq,"Our data stack includes Kinesis, S3, Athena, Terraform, Airflow, Parquet, Metabase, Python, Redis, MongoDB, and Kubernetes.

Work on core Radar data infrastructure built with Kinesis, S3, Athena, Terraform, Airflow, Parquet, Metabase, Python, Redis, and Mongo (some of these need to be replaced - you'll help figure out what that looks like)

Besides experience with some of our current data stack, have experience with several of Snowflake, Clickhouse, Databricks, Dynamo and dbt or similar tools","[{""category"":""streaming"",""instance"":""kinesis""},{""category"":""warehouse"",""instance"":""athena""},{""category"":""orchestration"",""instance"":""airflow""},{""category"":""open_table_format"",""instance"":""parquet_only""},{""category"":""bi"",""instance"":""metabase""},{""category"":""iac"",""instance"":""terraform""},{""category"":""warehouse"",""instance"":""snowflake""},{""category"":""warehouse"",""instance"":""clickhouse""},{""category"":""warehouse"",""instance"":""databricks""},{""category"":""transformation"",""instance"":""dbt_core""}]","S3 not in taxonomy (object storage). Redis and MongoDB not in taxonomy (operational stores). Kubernetes not in taxonomy. Snowflake, Clickhouse, Databricks, and dbt listed as aspirational/desired experience ('have experience with several of... or similar tools'). Migration implied: current stack (Athena, Kinesis, Airflow) may be partially replaced — candidate helps determine what. Company raised $85.5M total; series-b inferred. Size not explicitly stated but scale (1B API calls/day, Accel/Insight-backed, NYC HQ + engineering team described) suggests 100–250 range.",medium
